6.127018569743855281e+00 -4.449291114480400822e+00 6.103546486819176664e+00 -4.453604833023072196e+00
8.167118071466575202e+00 -4.671792074801252248e+00 8.233274901202104701e+00 -4.701577512106865697e+00
1.012205328341975452e+01 -4.750301704351120868e+00 9.761626790037283286e+00 -4.744975135107150521e+00
1.191321333700933316e+01 -4.827226620535133073e+00 1.210450751035244110e+01 -4.835037904308042478e+00
1.495578069474414207e+01 -4.879206515297399349e+00 1.484294875296505190e+01 -4.888231831668676364e+00
1.697896364087125676e+01 -4.905006920750236254e+00 1.707878779666249258e+01 -4.909680893602430984e+00
1.994091564256113358e+01 -4.912315387550882484e+00 2.008879520560722653e+01 -4.932407970378907436e+00
2.189463428712220860e+01 -4.917144608540274575e+00 2.203231690726717318e+01 -4.931782779532973393e+00
2.499331261036586938e+01 -4.924942180815854442e+00 2.505606770302484776e+01 -4.944171689628719335e+00
2.695427625442016151e+01 -4.928279321021460824e+00 2.698468161239108198e+01 -4.947779984736934367e+00
2.999999999594367850e+01 -4.932709548257397714e+00 3.000000000239713316e+01 -4.952140287475959468e+00
